protein,query,helper,smiles,affinity
5HT2B,5TVN,CHEMBL19215,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@H]3[C@H]1Cc4cn(C)c5cccc3c45,0.281
5HT2B,5TVN,CHEMBL1112,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl,0.36
5HT2B,5TVN,CHEMBL3092758,NC(=NC(=O)c1ccc2c(c1)C(=O)c3ccccc23)N,0.4
5HT2B,5TVN,CHEMBL1201356,CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,0.8
5HT2B,5TVN,CHEMBL272082,Cc1ccc(cc1)c2nc(nc3CCNCCc23)C4CCCC4,1.0
5HT2B,5TVN,CHEMBL196514,C[C@H]1Oc2c(NC1=O)cccc2N3CCN(CCCc4c[nH]c5ccc(F)cc45)CC3,1.0
5HT2B,5TVN,CHEMBL360328,C[C@H]1CNCCc2ccc(Cl)cc12,1.3
5HT2B,5TVN,CHEMBL708,Clc1cc2NC(=O)Cc2cc1CCN3CCN(CC3)c4nsc5ccccc45,1.585
5HT2B,5TVN,CHEMBL131495,Fc1ccc2[nH]cc(C3=CCN(CCCCN4C(=O)c5ccccc5C4=O)CC3)c2c1,1.585
5HT2B,5TVN,CHEMBL197653,C[C@H](N)Cn1ncc2ccc(O)c(F)c12,1.7
5HT2B,5TVN,CHEMBL3815112,COc1ccc(CCN(CCCc2ccccc2F)CCc3ccc4OCOc4c3)cc1OC,1.7
5HT2B,5TVN,CHEMBL2397890,CCc1cccc2C[C@@H]3CNCCN3C(=O)c12,2.0
5HT2B,5TVN,CHEMBL294951,CN1CCC(=C2c3ccccc3CCc4sccc24)CC1,2.0
5HT2B,5TVN,CHEMBL442,CN1C[C@@H](C=C2[C@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@]5(C)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C5=O,2.203
5HT2B,5TVN,CHEMBL3092757,Cl.NC(=NC(=O)c1ccc2Nc3ccccc3Oc2c1)N,2.4
5HT2B,5TVN,CHEMBL269974,Cc1ccc(cc1)c2nc(Cc3ccccc3)nc4CCNCCc24,2.5
5HT2B,5TVN,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,3.162
5HT2B,5TVN,CHEMBL190699,C[C@@H]1CNC[C@H]2Cc3ccc(Cl)c(C)c3N12,3.2
5HT2B,5TVN,CHEMBL157138,CCN(CC)C(=O)N[C@@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,3.242
5HT2B,5TVN,CHEMBL3092756,Cl.NC(=NC(=O)c1ccc2Oc3ccccc3Nc2c1)N,3.6
5HT2B,6DRX,CHEMBL19215,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@H]3[C@H]1Cc4cn(C)c5cccc3c45,0.281
5HT2B,6DRX,CHEMBL1112,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl,0.36
5HT2B,6DRX,CHEMBL3092758,NC(=NC(=O)c1ccc2c(c1)C(=O)c3ccccc23)N,0.4
5HT2B,6DRX,CHEMBL1201356,CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,0.8
5HT2B,6DRX,CHEMBL272082,Cc1ccc(cc1)c2nc(nc3CCNCCc23)C4CCCC4,1.0
5HT2B,6DRX,CHEMBL196514,C[C@H]1Oc2c(NC1=O)cccc2N3CCN(CCCc4c[nH]c5ccc(F)cc45)CC3,1.0
5HT2B,6DRX,CHEMBL360328,C[C@H]1CNCCc2ccc(Cl)cc12,1.3
5HT2B,6DRX,CHEMBL708,Clc1cc2NC(=O)Cc2cc1CCN3CCN(CC3)c4nsc5ccccc45,1.585
5HT2B,6DRX,CHEMBL131495,Fc1ccc2[nH]cc(C3=CCN(CCCCN4C(=O)c5ccccc5C4=O)CC3)c2c1,1.585
5HT2B,6DRX,CHEMBL197653,C[C@H](N)Cn1ncc2ccc(O)c(F)c12,1.7
5HT2B,6DRX,CHEMBL3815112,COc1ccc(CCN(CCCc2ccccc2F)CCc3ccc4OCOc4c3)cc1OC,1.7
5HT2B,6DRX,CHEMBL294951,CN1CCC(=C2c3ccccc3CCc4sccc24)CC1,2.0
5HT2B,6DRX,CHEMBL2397890,CCc1cccc2C[C@@H]3CNCCN3C(=O)c12,2.0
5HT2B,6DRX,CHEMBL442,CN1C[C@@H](C=C2[C@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@]5(C)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C5=O,2.203
5HT2B,6DRX,CHEMBL3092757,Cl.NC(=NC(=O)c1ccc2Nc3ccccc3Oc2c1)N,2.4
5HT2B,6DRX,CHEMBL269974,Cc1ccc(cc1)c2nc(Cc3ccccc3)nc4CCNCCc24,2.5
5HT2B,6DRX,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,3.162
5HT2B,6DRX,CHEMBL190699,C[C@@H]1CNC[C@H]2Cc3ccc(Cl)c(C)c3N12,3.2
5HT2B,6DRX,CHEMBL157138,CCN(CC)C(=O)N[C@@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,3.242
5HT2B,6DRX,CHEMBL3092756,Cl.NC(=NC(=O)c1ccc2Oc3ccccc3Nc2c1)N,3.6
5HT2B,6DRY,CHEMBL19215,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@H]3[C@H]1Cc4cn(C)c5cccc3c45,0.281
5HT2B,6DRY,CHEMBL1112,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl,0.36
5HT2B,6DRY,CHEMBL3092758,NC(=NC(=O)c1ccc2c(c1)C(=O)c3ccccc23)N,0.4
5HT2B,6DRY,CHEMBL1201356,CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,0.8
5HT2B,6DRY,CHEMBL272082,Cc1ccc(cc1)c2nc(nc3CCNCCc23)C4CCCC4,1.0
5HT2B,6DRY,CHEMBL196514,C[C@H]1Oc2c(NC1=O)cccc2N3CCN(CCCc4c[nH]c5ccc(F)cc45)CC3,1.0
5HT2B,6DRY,CHEMBL360328,C[C@H]1CNCCc2ccc(Cl)cc12,1.3
5HT2B,6DRY,CHEMBL708,Clc1cc2NC(=O)Cc2cc1CCN3CCN(CC3)c4nsc5ccccc45,1.585
5HT2B,6DRY,CHEMBL131495,Fc1ccc2[nH]cc(C3=CCN(CCCCN4C(=O)c5ccccc5C4=O)CC3)c2c1,1.585
5HT2B,6DRY,CHEMBL197653,C[C@H](N)Cn1ncc2ccc(O)c(F)c12,1.7
5HT2B,6DRY,CHEMBL3815112,COc1ccc(CCN(CCCc2ccccc2F)CCc3ccc4OCOc4c3)cc1OC,1.7
5HT2B,6DRY,CHEMBL2397890,CCc1cccc2C[C@@H]3CNCCN3C(=O)c12,2.0
5HT2B,6DRY,CHEMBL294951,CN1CCC(=C2c3ccccc3CCc4sccc24)CC1,2.0
5HT2B,6DRY,CHEMBL442,CN1C[C@@H](C=C2[C@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@]5(C)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C5=O,2.203
5HT2B,6DRY,CHEMBL3092757,Cl.NC(=NC(=O)c1ccc2Nc3ccccc3Oc2c1)N,2.4
5HT2B,6DRY,CHEMBL269974,Cc1ccc(cc1)c2nc(Cc3ccccc3)nc4CCNCCc24,2.5
5HT2B,6DRY,CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,3.162
5HT2B,6DRY,CHEMBL190699,C[C@@H]1CNC[C@H]2Cc3ccc(Cl)c(C)c3N12,3.2
5HT2B,6DRY,CHEMBL157138,CCN(CC)C(=O)N[C@@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,3.242
5HT2B,6DRY,CHEMBL3092756,Cl.NC(=NC(=O)c1ccc2Oc3ccccc3Nc2c1)N,3.6
5HT2B,6DRZ,CHEMBL19215,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@H]3[C@H]1Cc4cn(C)c5cccc3c45,0.281
5HT2B,6DRZ,CHEMBL1112,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl,0.36
5HT2B,6DRZ,CHEMBL3092758,NC(=NC(=O)c1ccc2c(c1)C(=O)c3ccccc23)N,0.4
5HT2B,6DRZ,CHEMBL1201356,CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,0.8
5HT2B,6DRZ,CHEMBL196514,C[C@H]1Oc2c(NC1=O)cccc2N3CCN(CCCc4c[nH]c5ccc(F)cc45)CC3,1.0
5HT2B,6DRZ,CHEMBL272082,Cc1ccc(cc1)c2nc(nc3CCNCCc23)C4CCCC4,1.0
5HT2B,6DRZ,CHEMBL360328,C[C@H]1CNCCc2ccc(Cl)cc12,1.3
5HT2B,6DRZ,CHEMBL708,Clc1cc2NC(=O)Cc2cc1CCN3CCN(CC3)c4nsc5ccccc45,1.585
5HT2B,6DRZ,CHEMBL131495,Fc1ccc2[nH]cc(C3=CCN(CCCCN4C(=O)c5ccccc5C4=O)CC3)c2c1,1.585
5HT2B,6DRZ,CHEMBL3815112,COc1ccc(CCN(CCCc2ccccc2F)CCc3ccc4OCOc4c3)cc1OC,1.7
5HT2B,6DRZ,CHEMBL197653,C[C@H](N)Cn1ncc2ccc(O)c(F)c12,1.7
5HT2B,6DRZ,CHEMBL294951,CN1CCC(=C2c3ccccc3CCc4sccc24)CC1,2.0
5HT2B,6DRZ,CHEMBL2397890,CCc1cccc2C[C@@H]3CNCCN3C(=O)c12,2.0
