protein,query,helper,smiles,affinity
5HT2B,5TVN,CHEMBL19215,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@H]3[C@H]1Cc4cn(C)c5cccc3c45,0.281
5HT2B,5TVN,CHEMBL1065,CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3cn(C)c4cccc(C2=C1)c34,0.358
5HT2B,5TVN,CHEMBL2323581,COC(OC)[C@@H]1C[C@H]2[C@@H](Cc3cn(C)c4cccc2c34)N(C)C1,0.54
5HT2B,5TVN,CHEMBL1201356,CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,0.8
5HT2B,5TVN,CHEMBL2323580,CN(C)CCCNC(=O)[C@@H]1C[C@H]2[C@@H](Cc3cn(C)c4cccc2c34)N(C)C1,0.97
5HT2B,5TVN,CHEMBL2323579,CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](Cc3cn(C)c4cccc2c34)N(C)C1,1.0
5HT2B,5TVN,CHEMBL1201087,CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](Cc3c[nH]c4cccc2c34)N(CC=C)C1,1.4
5HT2B,5TVN,CHEMBL14022,CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](Cc3c[nH]c4cccc2c34)N(C)C1,2.2
5HT2B,5TVN,CHEMBL442,CN1C[C@@H](C=C2[C@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@]5(C)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C5=O,2.203
5HT2B,5TVN,CHEMBL119443,C[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,2.634
5HT2B,5TVN,CHEMBL157138,CCN(CC)C(=O)N[C@@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,3.242
5HT2B,5TVN,CHEMBL1255837,CC(C)[C@@]1(NC(=O)[C@@H]2C[C@H]3[C@@H](Cc4c[nH]c5cccc3c45)N(C)C2)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C1=O.CS(=O)(=O)O,4.201
5HT2B,5TVN,CHEMBL1732,CN1C[C@@H](C[C@H]2[C@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@]5(C)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C5=O,4.33
5HT2B,5TVN,CHEMBL493,CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c(Br)[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]7CCCN7C1=O)C(C)C,5.292
5HT2B,5TVN,CHEMBL1385840,CC(C)[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]7CCCN7C1=O)C(C)C,6.855
5HT2B,5TVN,CHEMBL2323578,CCNC(=O)N(CCCN1CCOCC1)C(=O)[C@@H]2C[C@H]3[C@@H](Cc4c[nH]c5cccc3c45)N(CC=C)C2,7.1
5HT2B,5TVN,CHEMBL1403281,CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]7CCCN7C1=O)C(C)C,8.217
5HT2B,5TVN,CHEMBL15245,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,47.0
5HT2B,5TVN,CHEMBL531,CCCN1C[C@H](CSC)C[C@H]2[C@H]1Cc3c[nH]c4cccc2c34,49.0
5HT2B,5TVN,CHEMBL3099899,COc1ccc(CNC(=O)c2cc(cnc2c3cccnc3)c4cc(Cl)cc(Cl)c4)cc1OC,662.0
5HT2B,6DRX,CHEMBL19215,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@H]3[C@H]1Cc4cn(C)c5cccc3c45,0.281
5HT2B,6DRX,CHEMBL1065,CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3cn(C)c4cccc(C2=C1)c34,0.358
5HT2B,6DRX,CHEMBL2323581,COC(OC)[C@@H]1C[C@H]2[C@@H](Cc3cn(C)c4cccc2c34)N(C)C1,0.54
5HT2B,6DRX,CHEMBL1201356,CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,0.8
5HT2B,6DRX,CHEMBL2323580,CN(C)CCCNC(=O)[C@@H]1C[C@H]2[C@@H](Cc3cn(C)c4cccc2c34)N(C)C1,0.97
5HT2B,6DRX,CHEMBL2323579,CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](Cc3cn(C)c4cccc2c34)N(C)C1,1.0
5HT2B,6DRX,CHEMBL1201087,CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](Cc3c[nH]c4cccc2c34)N(CC=C)C1,1.4
5HT2B,6DRX,CHEMBL14022,CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](Cc3c[nH]c4cccc2c34)N(C)C1,2.2
5HT2B,6DRX,CHEMBL442,CN1C[C@@H](C=C2[C@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@]5(C)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C5=O,2.203
5HT2B,6DRX,CHEMBL119443,C[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,2.634
5HT2B,6DRX,CHEMBL157138,CCN(CC)C(=O)N[C@@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,3.242
5HT2B,6DRX,CHEMBL1255837,CC(C)[C@@]1(NC(=O)[C@@H]2C[C@H]3[C@@H](Cc4c[nH]c5cccc3c45)N(C)C2)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C1=O.CS(=O)(=O)O,4.201
5HT2B,6DRX,CHEMBL1732,CN1C[C@@H](C[C@H]2[C@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@]5(C)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C5=O,4.33
5HT2B,6DRX,CHEMBL493,CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c(Br)[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]7CCCN7C1=O)C(C)C,5.292
5HT2B,6DRX,CHEMBL1385840,CC(C)[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]7CCCN7C1=O)C(C)C,6.855
5HT2B,6DRX,CHEMBL2323578,CCNC(=O)N(CCCN1CCOCC1)C(=O)[C@@H]2C[C@H]3[C@@H](Cc4c[nH]c5cccc3c45)N(CC=C)C2,7.1
5HT2B,6DRX,CHEMBL1403281,CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]7CCCN7C1=O)C(C)C,8.217
5HT2B,6DRX,CHEMBL14652,COc1cc2CCN(C(=O)Nc3cncc(c3)c4ccccc4)c2cc1C(F)(F)F,25.12
5HT2B,6DRX,CHEMBL15245,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,47.0
5HT2B,6DRX,CHEMBL531,CCCN1C[C@H](CSC)C[C@H]2[C@H]1Cc3c[nH]c4cccc2c34,49.0
5HT2B,6DRY,CHEMBL19215,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@H]3[C@H]1Cc4cn(C)c5cccc3c45,0.281
